author;publication_count;latest_year;main_affiliation;topics;profile_text
Fengwei Xie;3;2024;University of Warwick;starch-based materials;Fengwei Xie is a researcher affiliated with University of Warwick. They have 3 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
Aakanchha Jain;2;2019;Swami Ramanand Teerth Rural Medical College;biodegradable polymers;Aakanchha Jain is a researcher affiliated with Swami Ramanand Teerth Rural Medical College. They have 2 publication(s) in this database, with the most recent work from 2019. Their research topics include: biodegradable polymers.
Sourabh Jain;2;2019;Swami Ramanand Teerth Rural Medical College;biodegradable polymers;Sourabh Jain is a researcher affiliated with Swami Ramanand Teerth Rural Medical College. They have 2 publication(s) in this database, with the most recent work from 2019. Their research topics include: biodegradable polymers.
Fan Zhang;2;2021;North Carolina State University;biodegradable polymers, starch-based materials;Fan Zhang is a researcher affiliated with North Carolina State University. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: biodegradable polymers, starch-based materials.
Md. Nazmul Hasan;2;2021;University of Dhaka;biodegradable polymers;Md. Nazmul Hasan is a researcher affiliated with University of Dhaka. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: biodegradable polymers.
Md. Shad Salman;2;2021;University of Dhaka;biodegradable polymers;Md. Shad Salman is a researcher affiliated with University of Dhaka. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: biodegradable polymers.
Gustavo Cabrera‐Barjas;2;2022;University of Concepción;starch-based materials;Gustavo Cabrera‐Barjas is a researcher affiliated with University of Concepción. They have 2 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Tianyu Jiang;2;2021;South China University of Technology;starch-based materials;Tianyu Jiang is a researcher affiliated with South China University of Technology. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Qingfei Duan;2;2021;South China University of Technology;starch-based materials;Qingfei Duan is a researcher affiliated with South China University of Technology. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Jian Zhu;2;2021;South China University of Technology;starch-based materials;Jian Zhu is a researcher affiliated with South China University of Technology. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Hongsheng Liu;2;2021;Innovation Team (China);starch-based materials;Hongsheng Liu is a researcher affiliated with Innovation Team (China). They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Long Yu;2;2021;South China University of Technology;starch-based materials;Long Yu is a researcher affiliated with South China University of Technology. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Long Chen;2;2021;Jiangnan University;starch-based materials;Long Chen is a researcher affiliated with Jiangnan University. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Zhengyu Jin;2;2021;Jiangnan University;starch-based materials;Zhengyu Jin is a researcher affiliated with Jiangnan University. They have 2 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Chenwei Li;1;2019;Qingdao University;polymer foams;Chenwei Li is a researcher affiliated with Qingdao University. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Degang Jiang;1;2019;Qingdao University;polymer foams;Degang Jiang is a researcher affiliated with Qingdao University. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Bingbing Huo;1;2019;Qingdao University;polymer foams;Bingbing Huo is a researcher affiliated with Qingdao University. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Meichun Ding;1;2019;Qingdao University of Science and Technology;polymer foams;Meichun Ding is a researcher affiliated with Qingdao University of Science and Technology. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Congcong Huang;1;2019;Beijing National Laboratory for Molecular Sciences;polymer foams;Congcong Huang is a researcher affiliated with Beijing National Laboratory for Molecular Sciences. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Dedong Jia;1;2019;Qingdao University;polymer foams;Dedong Jia is a researcher affiliated with Qingdao University. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Haoxiang Li;1;2019;Qingdao University;polymer foams;Haoxiang Li is a researcher affiliated with Qingdao University. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Chenyang Liu;1;2019;Chinese Academy of Sciences;polymer foams;Chenyang Liu is a researcher affiliated with Chinese Academy of Sciences. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Jingquan Liu;1;2019;Qingdao University;polymer foams;Jingquan Liu is a researcher affiliated with Qingdao University. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
Claas Willem Visser;1;2019;Harvard University;polymer foams;Claas Willem Visser is a researcher affiliated with Harvard University. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: polymer foams.
